Index,Grade Description,Pay
357,"HEALTH BOARD GENERAL ADMINISTRATOR
(FORMERLY EHB)
** grade obsolete - not for use - see Guide note 2 **",74727
358,"DIRECTOR, NURSING & MIDWIFERY PLANNING &
DEVELOPMENT",76134
359,PHYSIOTHERAPIST MANAGER-IN-CHARGE III,76299
360,DIETICIAN MANAGER-IN-CHARGE III,76299
361,CHILDREN'S DISABILITY NETWORK MANAGER,76299
362,COMMUNITY HEALTHCARE NETWORK MANAGER,76299
363,SPEECH AND LANGUAGE THERAPIST MANAGER-IN-CHARGE III,76299
364,"OCCUPATIONAL THERAPIST MANAGER-IN-CHARGE
III",76299
365,DIRECTOR OF PUBLIC HEALTH NURSING,77686
366,"DIRECTOR OF NURSING, MENTAL HEALTH
SERVICES ** grade obsolete - not for use - see Guide
note 2 **",77686
367,SENIOR DENTAL SURGEON,78268
368,DIRECTOR OF NURSING BAND 1 (GENERAL),79242
369,DIRECTOR OF MIDWIFERY BAND 1,79242
370,"PHARMACIST, CHIEF I",81376
371,"PHYSICIST, PRINCIPAL",81975
372,"SENIOR ADMINISTRATIVE DENTAL SURGEON (INCS.
HIGHER DUTIES ALLOWANCE)",82182
373,MEDICAL OFFICER - SENIOR,82817
374,AREA MEDICAL OFFICER - SENIOR,82817
375,"AREA DIRECTOR, NURSING & MIDWIFERY
PLANNING & DEVELOPMENT",83837
376,"PSYCHOLOGIST, EDUCATIONAL SENIOR",84271
377,"PSYCHOLOGIST, COUNSELLING SENIOR",84271
378,"PSYCHOLOGIST, SENIOR CLINICAL",84271
379,"ENVIRONMENTAL HEALTH OFFICER, REGIONAL
CHIEF ** effective from 1.05.17 **",84932
380,TECHNICAL SERVICES OFFICER,85260
381,"CEO BAND H2 HOSPITALS
(Cappagh Hospital, National Rehabilitation Hospital,
Peamount Hospital, Royal Victoria Eye & Ear Hospital,
St. Johns Hospital, St. Michaels Hospital)",85406
382,"CEO BAND SC2 SOCIAL CARE
(Central Remedial Clinic, Cheeverstown House, Our
Ladys Hospice, Sunbeam House, Sisters of Charity
Kilkenny, KARE)",85406
383,"PRINCIPAL DENTAL SURGEON
(RETIREES PRE 1/4/2000)
** grade obsolete - not for use - see Guide note 2 **",85637
384,REGIONAL PUBLIC ANALYST,87100
385,"DEPUTY GENERAL MANAGER (CORK UNIV.
HOSPITAL)(GALWAY REGIONAL HOSPITALS)",90584
386,"HEALTH BOARD FUNCTIONAL OFFICERS
(FORMERLY EHB)
** grade obsolete - not for use - see Guide note 2 **",91143
387,"CHIEF EXECUTIVE / SECRETARY MANAGERS
(VOLUNTARY HOSPITALS (GROUP 1))
** not for use for any new incumbents post 14/9/2015 -replaced by CEO Bands for Hospitals and Social Care **",93444
388,DIRECTOR OF INFORMATION SYSTEMS (HSE),93949
389,"PRINCIPAL DENTAL SURGEON (INCS. REGIONAL
DUTIES ALLOWANCE)",94199
390,"DIRECTOR OF COUNSELLING - NATIONAL
COUNSELLING SERVICE",94548
391,COMMUNITY OPTHALMIC PHYSICIAN,94648
392,"AREA DIRECTOR OF NURSING, MENTAL HEALTH
SERVICES ** replacing Director of Nursing, Mental
Health Services in line with LCR22454 **",95174
393,"QUANTITY SURVEYING ADVISER, PRINCIPAL",95352
394,"LOCAL HEALTH OFFICE MANAGER (HSE)
** not for use for any new incumbents **",95352
395,"HEALTH BOARD PROGRAMME MANAGERS (HSE
NON-EASTERN REGIONAL AREA) (HSE HEALTH
AREAS)
** grade obsolete - not for use - see Guide note 2 **",95352
396,"ARCHITECTURAL ADVISER, DEPUTY CHIEF",95352
397,"ENGINEERING ADVISER, PRINCIPAL",95352
398,"PRINCIPAL DENTAL SURGEON (INCS. PLANNING &
EVALUATION DUTIES ALLOWANCE)",96342
399,CHILDREN FIRST PROGRAMME LEAD,96623
400,"PROCUREMENT, ASSISTANT HEAD",96623
401,"HEAD OF FUNCTION / SERVICE,(COMMUNITY
SERVICES) (HSE ONLY)",96623
402,"HEAD OF FUNCTION / SERVICE (ACUTE SERVICES)
(HSE ONLY)",96623
403,"HEAD OF FUNCTION / SERVICE (NATIONAL
SERVICES) (HSE ONLY)",96623
404,"DEPUTY CEO (BEAUMONT)(ST. JAMES)(ST.
VINCENTS)(MATER)(TALLAGHT)",96942
405,"PSYCHOLOGIST, PRINCIPAL CLINICAL",98350
406,ASSISTANT NATIONAL DIRECTOR (SUPPORT),101365
407,"ARCHITECTURAL ADVISER, CHIEF",101365
408,"SECRETARY TO THE BOARD (HSE)
** grade obsolete - not for use - see Guide note 2 **",101365
409,"CEO BAND H3 HOSPITALS
(Coombe Hospital, Mercy University Hospital, National
Maternity Hospital, Rotunda Hospital, South Infirmary
Victoria University Hospital)",102294
410,"CEO BAND SC3 SOCIAL CARE
(COPE Foundation, Muiriosa Foundation, Stewarts
Care)",102294
411,"HOSPITAL GROUP DIRECTOR OF NURSING &
MIDWIFERY",102878
412,"CHIEF FINANCE OFFICER, HOSPITAL GROUPS",102878
413,"DIRECTOR OF MIDWIFERY, NWIHP",102878
414,"CHIEF OFFICER, COMMUNITY HEALTHCARE
ORGANISATIONS",102878
415,ASSISTANT NATIONAL DIRECTOR (SERVICES),102878
416,DIRECTOR REGIONAL HEALTH OFFICE (HSE),102878
417,"HOSPITAL NETWORK MANAGER - NATIONAL
HOSPITALS OFFICE (HSE)
** grade obsolete - not for use - see Guide note 2 **",102878
418,"CHIEF OPERATIONS OFFICER, HOSPITAL GROUPS",102878
419,"PHYSICIST, CHIEF",106077
420,MEDICAL OFFICER - PRINCIPAL,106230
421,"PSYCHOLOGY, DIRECTOR OF",107177
422,"CEO BAND H4 HOSPITALS
(Our Lady's Childrens Hospital, Temple Street Childrens
University Hospital)",109541
423,"CEO BAND SC4 SOCIAL CARE
(St Michaels House, Daughters of Charity, St. John of
God Hospitaller, Brothers of Charity)",109541
424,DIRECTOR OF COMMUNITY CARE,113397
425,SPECIALIST IN PUBLIC HEALTH MEDICINE,119067
426,DIRECTOR OF PUBLIC HEALTH MEDICINE,138909
427,NATIONAL CLINICAL LABORATORY DIRECTOR,139413
428,"MANAGER, NATIONAL WOMEN AND INFANTS
HEALTH PROGRAMME",139414
429,"HEALTH BOARD DIRECTOR OF SHARED SERVICES
(HSE EASTERN REGIONAL AREA)
** grade obsolete - not for use - see Guide note 2 **",139761
430,"CEO BAND H5 HOSPITALS
(AMNCH, Beaumont Hospital, Mater Misericordiae
Hospital, St. Vincent's University Hospital, St. James
Hospital)",141304
431,"NATIONAL DIRECTOR OF SHARED SERVICES (HSE)
** grade obsolete - not for use - see Guide note 2 **",150442
432,"HEALTH BOARD PROGRAMME MANAGERS (HSE
EASTERN REGIONAL AREA)
** grade obsolete - not for use - see Guide note 2 **",150442
433,"HEALTH BOARD CHIEF OFFICER (HSE MIDLAND
AREA, MID-WESTERN AREA, NORTH EASTERN
AREA, NORTH WESTERN AREA)
** grade obsolete - not for use - see Guide note 2 **",150442
434,SPECIALIST IN ORTHODONTICS,152365
435,"NATIONAL DIRECTOR, ESTATE MANAGEMENT
(HSE)
** grade obsolete - not for use - see Guide note 2 **",156072
436,"NATIONAL DIRECTOR, PROCUREMENT (HSE)
** grade obsolete - not for use - see Guide note 2 **",156072
437,"CHIEF INFORMATION OFFICER (HSE), NATIONAL
DIRECTOR",156072
438,"NATIONAL DIRECTOR, INTERNAL AUDIT (HSE)",156072
439,"GENERAL MANAGER (CORK UNIVERSITY
HOSPITAL)(GALWAY REGIONAL HOSPITALS)
** grade obsolete - not for use - see Guide note 2 **",156072
440,"CHIEF EXECUTIVE (BEAUMONT)(ST. JAMES)(ST.
VINCENTS)(MATER)(ADELAIDE AND MEATH (INC
NCH) HOSPITAL)
** not for use for any new incumbents post 14/9/2015 -replaced by CEO Bands for Hospitals and Social Care **",156072
441,"NATIONAL DIRECTOR OF CORPORATE PLANNING
AND CONTROL PROCESSES (HSE)
** grade obsolete - not for use - see Guide note 2 **",156072
442,"HEALTH BOARD AREA CHIEF OFFICER (HSE
EASTERN REGIONAL AREA)
** grade obsolete - not for use - see Guide note 2 **",160506
